baths,baths_1qtr,baths_3qtr,baths_full,baths_half,beds,garage,lot_sqft,sqft,stories,year_built,price_reduced_amount,latitude,longitude,sub_type_townhouse,type_condo_townhome_rowhome_coop,type_condos,type_duplex_triplex,type_land,type_mobile,type_multi_family,type_single_family,type_townhomes,is_price_reduced_True
4.0,0.0,0.0,3.0,1.0,3.0,2.0,15682.0,2461.0,1.0,1993.0,5000.0,39.672308,-86.154231,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,1.0,1.0,3.0,0.0,1455.0,1320.0,2.0,1891.0,5000.0,40.22803,-74.749745,1,0,0,0,0,0,0,0,1,0
2.0,0.0,0.0,2.0,0.0,4.0,0.0,15483.0,1848.0,2.0,1953.0,0.0,38.98954,-76.51154,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,3.0,2.0,13068.0,2682.0,1.0,1968.0,0.0,43.043409,-89.487863,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1280.0,2.0,2006.0,0.0,35.663895,-105.958741,0,0,1,0,0,0,0,0,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,8098.0,2455.0,1.0,1990.0,0.0,30.185695,-97.890832,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,0.0,11761.0,1446.0,1.0,1957.0,4900.0,34.692718,-92.39731,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,837.0,1.0,1964.0,20000.0,40.765328,-111.855058,0,0,1,0,0,0,0,0,0,0
3.0,0.0,0.0,2.0,1.0,3.0,2.0,6207.0,2354.0,2.0,1983.0,0.0,30.134438,-97.785593,0,0,1,0,0,0,0,0,0,0
2.0,0.0,0.0,1.0,1.0,3.0,0.0,10454.0,1108.0,1.0,1969.0,10000.0,34.701833,-92.328484,0,0,0,0,0,0,0,1,0,0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,2601.0,2745.0,0.0,1892.0,0.0,40.227434,-74.779889,0,0,0,0,0,0,1,0,0,0
8.0,0.0,0.0,8.0,0.0,12.0,5.0,64687.0,8106.0,2.0,1978.0,99000.0,35.651971,-106.032653,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1999.0,0.0,39.81728,-89.596169,0,0,0,0,0,1,0,0,0,0
2.0,0.0,0.0,1.0,1.0,2.0,1.0,10799.0,1412.0,1.0,1961.0,0.0,30.516854,-91.169537,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,0.0,236966.0,1494.0,1.0,2016.0,0.0,38.295242,-84.981361,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,5.0,2.0,11326.0,3356.0,0.0,0.0,0.0,38.366388,-81.643303,0,0,0,0,0,0,0,1,0,0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,1307.0,1980.0,0.0,1900.0,0.0,40.283135,-76.899749,0,0,0,0,0,0,1,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8316.0,2304.0,0.0,1962.0,20000.0,47.019055,-122.886233,0,0,0,0,0,0,1,0,0,0
2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1096.0,2.0,1965.0,11500.0,38.949734,-76.488157,0,0,1,0,0,0,0,0,0,0
2.0,0.0,0.0,1.0,1.0,3.0,1.0,7405.0,1200.0,1.0,1966.0,0.0,43.032231,-89.487653,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,5663.0,1455.0,1.0,1963.0,0.0,38.67408,-121.3568,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,6970.0,1248.0,1.0,1991.0,14100.0,30.484817,-84.335789,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,3.0,2.0,2370.0,1848.0,2.0,2019.0,0.0,40.328954,-76.832394,1,0,0,0,0,0,0,0,1,0
5.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,3656.0,2.0,1972.0,10000.0,38.205458,-84.826202,0,0,0,0,0,0,0,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6970.0,0.0,0.0,0.0,0.0,39.789941,-89.656533,0,0,0,0,1,0,0,0,0,0
5.0,0.0,0.0,4.0,1.0,6.0,0.0,8712.0,4179.0,2.0,1915.0,0.0,35.785393,-78.658927,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,3.0,2.0,436.0,1542.0,2.0,2018.0,0.0,40.786015,-111.900961,1,0,0,0,0,0,0,0,1,0
2.0,0.0,0.0,2.0,0.0,4.0,0.0,16553.0,2324.0,3.0,1920.0,22501.0,40.277824,-76.830618,0,0,0,0,0,0,0,1,0,0
2.0,0.0,0.0,2.0,0.0,3.0,2.0,18295.0,1344.0,0.0,1973.0,0.0,46.638434,-112.012972,0,0,0,0,0,0,0,1,0,0
3.0,0.0,0.0,2.0,1.0,4.0,0.0,19166.0,2630.0,2.0,1994.0,10100.0,42.659123,-84.577024,0,0,0,0,0,0,0,1,0,1
3.0,0.0,0.0,2.0,1.0,3.0,0.0,10890.0,1657.0,2.0,1982.0,5000.0,35.885374,-78.642846,0,0,0,0,0,0,0,1,0,0
4.0,0.0,0.0,4.0,0.0,8.0,3.0,20904.0,3200.0,2.0,1984.0,0.0,30.394837,-91.181751,0,0,0,0,0,0,1,0,0,0
3.0,0.0,0.0,3.0,0.0,4.0,2.0,15351.0,2568.0,1.0,1992.0,24000.0,30.418057,-91.12623,0,0,0,0,0,0,0,1,0,0
